,block_number,floor,unit_number,price,area,unit_available
0,436A,#02,1539,"$436,000",113,True
1,436A,#03,1539,"$442,900",113,True
2,436A,#04,1539,"$449,800",113,True
3,436A,#05,1539,"$456,700",113,True
4,436A,#06,1539,"$461,300",113,True
5,436A,#07,1539,"$465,900",113,True
6,436A,#08,1539,"$470,500",113,True
7,436A,#09,1539,"$472,400",113,True
8,436A,#10,1539,"$474,300",113,True
9,436A,#11,1539,"$476,200",113,True
10,436A,#12,1539,"$478,100",113,True
11,436A,#13,1539,"$480,000",113,True
12,436A,#14,1539,"$481,900",113,True
13,436A,#15,1539,"$483,800",113,True
14,436A,#16,1539,"$485,700",113,True
15,436A,#17,1539,"$487,600",113,True
16,436A,#18,1539,"$487,600",113,True
17,436A,#02,1541,"$449,100",116,True
18,436A,#03,1541,"$456,200",116,True
19,436A,#04,1541,"$463,300",116,True
20,436A,#05,1541,"$470,400",116,True
21,436A,#06,1541,"$475,200",116,True
22,436A,#07,1541,"$480,000",116,True
23,436A,#08,1541,"$484,800",116,True
24,436A,#09,1541,"$486,700",116,True
25,436A,#10,1541,"$488,600",116,True
26,436A,#11,1541,"$490,500",116,True
27,436A,#12,1541,"$492,400",116,True
28,436A,#13,1541,"$494,300",116,True
29,436A,#14,1541,"$496,200",116,True
30,436A,#15,1541,"$498,100",116,True
31,436A,#16,1541,"$500,000",116,True
32,436A,#17,1541,"$501,900",116,True
33,436A,#18,1541,"$501,900",116,True
34,436B,#02,1563,"$431,400",113,True
35,436B,#03,1563,"$438,300",113,True
36,436B,#04,1563,"$445,200",113,True
37,436B,#05,1563,"$452,100",113,True
38,436B,#06,1563,"$456,700",113,True
39,436B,#07,1563,"$465,900",113,True
40,436B,#08,1563,"$479,800",113,True
41,436B,#09,1563,"$481,700",113,True
42,436B,#10,1563,"$488,200",113,True
43,436B,#11,1563,"$494,700",113,True
44,436B,#12,1563,"$496,600",113,True
45,436B,#13,1563,"$498,500",113,True
46,436B,"
														#14","1563
													",,,False
47,436B,#15,1563,"$500,400",113,True
